speaker	speakers_job	state_info	party_affiliation	barely_true_cnt	false_cnt	half_true_cnt	mostly_true_cnt	pants_on_fire_cnt	true_cnt
barack-obama	President	Illinois	democrat	56	70	124	130	8	105
blog-posting			none	7	13	2	4	31	2
charlie-crist		Florida	democrat	10	14	20	14	1	11
robin-vos	Wisconsin Assembly speaker	Wisconsin	republican	0	3	3	3	1	1
republican-party-texas		Texas	republican	3	0	0	3	1	1
oregon-lottery			organization	0	0	1	0	1	0
robert-menendez	U.S. Senator	New Jersey	democrat	0	3	1	3	0	4
bernie-s	U.S. Senator	Vermont	independent	15	9	21	30	0	14
mitt-romney	Former governor	Massachusetts	republican	27	28	49	29	17	30
doonesbury			none	0	0	1	4	0	0
george-will	Columnist	Maryland	columnist	4	6	2	3	1	9
national-republican-congressional-committee			republican	16	7	8	5	7	3
gwen-moore	U.S. House member -- 4th District	Wisconsin	democrat	3	3	3	3	1	4
jack-lew	Treasury secretary 	Washington, D.C. 	democrat	0	1	0	1	0	0
dennis-richardson	state representative	Oregon	republican	0	3	0	2	0	1
eric-bolling	Co-host on Fox News Channel's "The Five"		none	0	0	1	1	0	0
hillary-clinton	Presidential candidate	New York	democrat	30	27	51	65	6	60
greater-wisconsin-political-fund		Wisconsin	none	2	3	1	0	1	2
nancy-pelosi	House Minority Leader	California	democrat	2	4	11	0	3	3
ted-nugent	musician	Texas	republican	0	0	1	0	2	0
pamela-geller	President of American Freedom Defense Intitiative	New York	activist	0	1	1	0	0	0
peter-kinder	Lieutenant governor	Missouri	republican	0	0	0	1	1	1
shelley-moore-capito	U.S. House of Representative	West Virginia	republican	1	1	0	0	0	0
rick-scott	Governor	Florida	republican	18	19	30	28	7	13
tom-cotton	U.S. House of Representatives	Arkansas	republican	3	3	1	3	1	0
ted-cruz	Senator	Texas	republican	30	25	12	14	6	6
lee-leffingwell	Austin mayor	Texas	democrat	1	0	4	1	0	2
kelly-ayotte	U.S. Senator	New Hampshire	republican	2	1	0	3	0	3
marco-rubio	U.S. Senator	Florida	republican	26	21	28	24	2	16
keep-promise-1-pac			republican	0	1	1	0	0	0
rachel-maddow	MSNBC host		none	5	5	2	4	1	3
jerry-patterson	state land commissioner	Texas	republican	1	1	1	3	0	2
chain-email			none	9	34	8	5	82	4
john-boehner	Speaker of the House of Representatives	Ohio	republican	8	14	8	4	2	14
rick-perry	Governor	Texas	republican	23	29	36	17	16	21
national-republican-senatorial-committee			republican	7	3	7	2	5	0
ken-cuccinelli	Attorney General	Virginia	republican	0	10	3	2	1	2
andrew-cuomo	Governor	New York	democrat	1	0	0	1	0	3
sid-miller	State agriculture commissioner	Texas	republican	1	2	2	0	1	1
jim-barksdale	Senate Candidate	Georgia	democrat	0	0	2	0	0	0
donald-trump	President-Elect	New York	republican	48	102	39	27	52	6
john-mccain	U.S. senator	Arizona	republican	23	33	27	30	6	29
battleground-texas		Texas	democrat	0	0	0	1	0	1
michelle-obama		Illinois	democrat	0	2	1	4	0	2
rudy-giuliani	Attorney	New York	republican	6	9	8	6	2	5
john-barrasso	Senator	Wyoming	republican	1	0	0	0	0	1
empower-texans		Texas	none	1	0	0	1	0	0
john-depetro	Talk-show host	Rhode Island	talk-show-host	0	3	0	0	2	0
garnet-coleman	president, ceo of Apartments for America, Inc.	Texas	democrat	1	0	1	0	1	1
terry-mcauliffe	Governor	Virginia	democrat	10	6	2	2	3	6
elena-kagan	U.S. solicitor general	New York	democrat	0	1	1	0	0	0
republican-party-florida			republican	10	3	4	4	3	2
maurice-ferre	Former mayor of Miami	Florida	democrat	1	0	1	0	0	1
jeanne-shaheen	Senator	New Hampshire	democrat	2	0	4	0	0	2
karl-rove		Texas	republican	1	4	2	6	0	0
gwen-graham		Florida	democrat	0	0	1	0	0	1
bill-white	Former mayor of Houston	Texas	democrat	1	3	4	5	2	4
bob-goodlatte	U.S. Congressman	Virginia	republican	0	1	3	3	0	2
cory-booker	U.S. senator	New Jersey	democrat	0	3	2	7	0	6
joe-biden	U.S. senator	Delaware	democrat	10	10	18	11	3	11
florida-democratic-party		Florida	democrat	3	4	2	3	3	3
robert-sarvis	lawyer, businessman	Virginia	libertarian	0	0	0	1	0	1
will-weatherford	State Representative	Florida	republican	2	3	4	3	0	0
mark-shields	Columnist and commentator	Washington, D.C.	none	1	0	0	0	0	1
brady-campaign-prevent-gun-violence			none	1	1	0	0	0	0
alison-lundergan-grimes	Secretary of State	Kentucky	democrat	2	2	2	1	0	0
mitch-mcconnell	Senate minority leader	Kentucky	republican	6	7	5	6	0	1
